rpm,voltage,statorCurrent,supplyCurrent,closedLoopError,distance,made,missAmount,pressDuration,shotsInBurst
3000.0,0.0,0.0,0.0,3000.0,2.823616102686174,false,0.3,0.0,0
3000.0,0.0,0.0,0.0,3000.0,0.7800686077442678,false,1.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,1.8392941258748248,false,1.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,2.6206730531074425,false,0.3,0.0,0
3000.0,0.0,0.0,0.0,3000.0,2.902504605770099,true,0.2,0.0,0
3000.0,0.0,0.0,0.0,3000.0,3.345456212894063,true,0.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,3.6646897643452556,true,0.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,4.029865761437983,true,-0.2,0.0,0
3000.0,0.0,0.0,0.0,3000.0,4.330330007821299,false,-0.3,0.0,0
2500.0,0.0,0.0,0.0,2500.0,4.703728397608956,false,-1.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,4.170102717530772,false,-0.3,0.0,0
2500.0,0.0,0.0,0.0,2500.0,3.6918429919868365,true,-0.2,0.0,0
2500.0,0.0,0.0,0.0,2500.0,3.5564541102166025,true,-0.2,0.0,0
2500.0,0.0,0.0,0.0,2500.0,3.240176867532707,true,0.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,2.985342587774906,true,0.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,2.7934119883072728,true,0.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,2.7436154951747915,true,0.2,0.0,0
2500.0,0.0,0.0,0.0,2500.0,2.1523605204436915,false,0.3,0.0,0
2500.0,0.0,0.0,0.0,2500.0,2.394051566810639,true,0.2,0.0,0
2500.0,0.0,0.0,0.0,2500.0,1.635175581246112,false,1.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,1.1828983302793055,false,1.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,1.9831594502548335,false,0.3,0.0,0
2500.0,0.0,0.0,0.0,2500.0,2.415328823684303,true,0.2,0.0,0
2500.0,0.0,0.0,0.0,2500.0,2.8033375902467466,true,0.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,3.166849509661582,true,0.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,3.294571545865214,true,-0.2,0.0,0
2500.0,0.0,0.0,0.0,2500.0,3.9547759028570004,false,0.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,4.834780505795661,false,-1.0,0.0,0
2500.0,0.0,0.0,0.0,2500.0,6.5894700461329165,false,-1.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,4.983168109246395,false,-1.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,3.6496443060017794,false,-0.3,0.0,0
2000.0,0.0,0.0,0.0,2000.0,2.9169213439740993,true,-0.2,0.0,0
2000.0,0.0,0.0,0.0,2000.0,1.8586871001302558,true,0.2,0.0,0
2000.0,0.0,0.0,0.0,2000.0,2.2768116800757547,true,0.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,2.369977155683389,true,0.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,2.54895241501067,true,0.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,1.2767344875298583,false,0.3,0.0,0
2000.0,0.0,0.0,0.0,2000.0,0.8445455669653263,false,0.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,0.5338764022548453,false,1.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,0.6226177691274428,false,1.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,1.1209182216042977,false,0.3,0.0,0
2000.0,0.0,0.0,0.0,2000.0,1.6593112401940566,true,0.2,0.0,0
2000.0,0.0,0.0,0.0,2000.0,2.159241319595143,true,0.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,5.023125772824835,false,-1.0,0.0,0
2000.0,0.0,0.0,0.0,2000.0,7.164905005101742,false,-1.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,4.40652465443408,false,-1.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,3.211507459011679,false,-0.3,0.0,0
1500.0,0.0,0.0,0.0,1500.0,1.938607506681346,true,0.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,0.5192186925000849,false,0.3,0.0,0
1500.0,0.0,0.0,0.0,1500.0,1.4191806330223302,true,0.2,0.0,0
1500.0,0.0,0.0,0.0,1500.0,2.247092018737953,true,-0.2,0.0,0
1500.0,0.0,0.0,0.0,1500.0,2.7351189579857693,false,-0.3,0.0,0
1500.0,0.0,0.0,0.0,1500.0,3.192370266975783,false,-0.3,0.0,0
1500.0,0.0,0.0,0.0,1500.0,3.5316886272000936,false,-1.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,1.7389238641039553,true,0.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,7.219955545638477,false,-1.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,3.4333011991955087,false,-1.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,1.97536459414741,true,-0.2,0.0,0
1500.0,0.0,0.0,0.0,1500.0,1.6605120147220345,true,0.0,0.0,0
1500.0,0.0,0.0,0.0,1500.0,2.324333598589642,true,-0.2,0.0,0
1500.0,0.0,0.0,0.0,1500.0,1.083961407841079,true,0.2,0.0,0
1000.0,0.0,0.0,0.0,1000.0,5.0840540993175045,false,-1.0,0.0,0
1000.0,0.0,0.0,0.0,1000.0,4.280566664558115,false,-1.0,0.0,0
